Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|13/01/2025|Vente|74000,00|46||RUE|0780|MARCEL CACHIN|3410|DOMERAT|03|101||ZV|203||||||||||||0|3|Dépendance||0|0|S||1080
|||||||000001|06/01/2025|Vente|220000,00|10||RUE|0905|RAVY BRETON|3700|BELLERIVE SUR ALLIER|03|23||AL|203||||||||||||0|1|Maison||108|3|S||635
|||||||000001|06/01/2025|Vente|220000,00|10||RUE|0905|RAVY BRETON|3700|BELLERIVE SUR ALLIER|03|23||AL|203||||||||||||0|3|Dépendance||0|0|S||635
|||||||000001|06/01/2025|Vente|220000,00|10||RUE|0905|RAVY BRETON|3700|BELLERIVE SUR ALLIER|03|23||AL|203||||||||||||0|3|Dépendance||0|0|S||635
|||||||000001|06/01/2025|Vente|220000,00||||B096|LA VILLE|3700|BELLERIVE SUR ALLIER|03|23||AL|679||||||||||||0||||||J|POTAG|192
|||||||000001|06/01/2025|Vente|32000,00|117||RUE|1370|DE LYON|3000|MOULINS|03|190||AZ|250||20|60,59|33||||||||2|2|Appartement||56|2|||
|||||||000001|06/01/2025|Vente|32000,00|117||RUE|1370|DE LYON|3000|MOULINS|03|190||AZ|250||20|60,59|33||||||||2|3|Dépendance||0|0|||
|||||||000001|06/01/2025|Vente|32000,00|117||RUE|1370|DE LYON|3000|MOULINS|03|190||AZ|250||20|60,59|33||||||||2|3|Dépendance||0|0|||
|||||||000001|06/01/2025|Vente|32000,00|117||RUE|1370|DE LYON|3000|MOULINS|03|190||AZ|250||46||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2025|Vente|109000,00|45||AV|1050|GILBERT ROUX|3300|CUSSET|03|95||CK|257||||||||||||0|1|Maison||66|3|S||297
|||||||000001|02/01/2025|Vente|17000,00|7||AV|3320|VICTORIA|3200|VICHY|03|310||BD|982||61||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/01/2025|Vente|70000,00|45||RUE|0832|DU HAUT BARRIEUX|3400|YZEURE|03|321||CM|8||||||||||||0|1|Maison||86|4|S||615
|||||||000001|08/01/2025|Vente|110000,00|30||BD|1622|DE NOMAZY|3000|MOULINS|03|190||BC|442||138||313||323|66,45|||||3|3|Dépendance||0|0|||
|||||||000001|08/01/2025|Vente|110000,00|30||BD|1622|DE NOMAZY|3000|MOULINS|03|190||BC|442||138||313||323|66,45|||||3|2|Appartement||64|3|||
|||||||000001|08/01/2025|Vente|110000,00|30||BD|1622|DE NOMAZY|3000|MOULINS|03|190||BC|442||138||313||323|66,45|||||3|3|Dépendance||0|0|||
